Country,1990,1995,2000,2005,2010,2015
Afghanistan,1340,1270,1100,821,584,396
Algeria,216,192,170,148,147,140
Angola,1160,1150,924,705,561,477
Argentina,72,63,60,58,58,52
Bahamas,46,49,61,74,85,80
Bahrain,26,22,21,20,16,15
Bangladesh,569,479,399,319,242,176
Barbados,58,49,48,40,33,27
Belize,54,55,53,52,37,28
Benin,576,550,572,502,446,405
Bhutan,945,636,423,308,204,148
Bolivia,425,390,334,305,253,206
Botswana,243,238,311,276,169,129
Brazil,104,84,66,67,65,44
Brunei Darussalam,35,33,31,30,27,23
Burkina Faso,727,636,547,468,417,371
Burundi,1220,1210,954,863,808,712
Cambodia,1020,730,484,315,202,161
Cameroon,728,749,750,729,676,596
Cape Verde,256,150,83,54,51,42
Central African Republic,1290,1300,1200,1060,909,882
Chad,1450,1430,1370,1170,1040,856
Chile,57,41,31,27,26,22
China,97,72,58,48,35,27
Colombia,118,105,97,80,72,64
Comoros,635,563,499,436,388,335
Congo,603,634,653,596,509,442
Costa Rica,43,44,38,31,29,25
Cote d'Ivoire,745,711,671,742,717,645
Cuba,58,55,43,41,44,39
Democratic Republic of the Congo,879,914,874,787,794,693
Djibouti,517,452,401,341,275,229
Dominican Republic,198,198,79,64,75,92
Ecuador,185,131,103,74,75,64
Egypt,106,83,63,52,40,33
El Salvador,157,118,84,68,59,54
Equatorial Guinea,1310,1050,702,483,379,342
Eritrea,1590,1100,733,619,579,501
Ethiopia,1250,1080,897,743,523,353
Fiji,63,51,42,39,34,30
Gabon,422,405,405,370,322,291
Gambia,1030,977,887,807,753,706
Ghana,634,532,467,376,325,319
Grenada,41,37,29,25,27,27
Guatemala,205,173,178,120,109,88
Guinea,1040,964,976,831,720,679
Guinea-Bissau,907,780,800,714,570,549
Guyana,171,205,210,232,241,229
Haiti,625,544,505,459,389,359
Honduras,272,166,133,150,155,129
India,556,471,374,280,215,174
Indonesia,446,326,265,212,165,126
Iran (Islamic Republic of),123,80,51,34,27,25
Iraq,107,87,63,54,51,50
Jamaica,79,81,89,92,93,89
Jordan,110,93,77,62,59,58
Kenya,687,698,759,728,605,510
Kiribati,234,207,166,135,109,90
"Korea, Democratic People's Republic of",75,81,128,105,97,82
"Korea, Republic of",21,19,16,14,15,11
Kuwait,7,9,7,6,5,4
Lao People's Democratic Republic,905,695,546,418,294,197
Lebanon,74,54,42,27,19,15
Lesotho,629,525,649,746,587,487
Liberia,1500,1800,1270,1020,811,725
Libyan Arab Jamahiriya,39,25,17,11,9,9
Madagascar,778,644,536,508,436,353
Malawi,957,953,890,648,629,634
Malaysia,79,68,58,52,48,40
Maldives,677,340,163,101,87,68
Mali,1010,911,834,714,630,587
Mauritania,859,824,813,750,723,602
Mauritius,81,60,40,39,59,53
Mexico,90,85,77,54,45,38
"Micronesia, Federated States of",183,166,153,134,115,100
Mongolia,186,205,161,95,63,44
Morocco,317,257,221,190,153,121
Mozambique,1390,1150,915,762,619,489
Myanmar,453,376,308,248,205,178
Namibia,338,320,352,390,319,265
Nepal,901,660,548,444,349,258
Nicaragua,173,212,202,190,166,150
Niger,873,828,794,723,657,553
Nigeria,1350,1250,1170,946,867,814
Oman,30,20,20,20,18,17
Pakistan,431,363,306,249,211,178
Panama,102,94,82,87,101,94
Papua New Guinea,470,377,342,277,238,215
Paraguay,150,147,158,159,139,132
Peru,251,206,140,114,92,68
Philippines,152,122,124,127,129,114
Puerto Rico,26,25,22,19,16,14
Qatar,29,28,24,21,16,13
Rwanda,1300,1260,1020,567,381,290
Saint Lucia,45,43,54,67,54,48
Saint Vincent and the Grenadines,58,81,74,50,50,45
Samoa,156,119,93,77,64,51
Sao Tome and Principe,330,263,222,181,162,156
Saudi Arabia,46,33,23,18,14,12
Senegal,540,509,488,427,375,315
Sierra Leone,2630,2900,2650,1990,1630,1360
Singapore,12,13,18,16,11,10
Solomon Islands,364,273,214,164,136,114
Somalia,1210,1190,1080,939,820,732
South Africa,108,62,85,112,154,138
Sri Lanka,75,70,57,43,35,30
State of Palestine,118,96,72,62,54,45
Suriname,127,177,259,223,169,155
Swaziland,635,537,586,595,436,389
Syrian Arab Republic,123,89,73,58,49,68
Thailand,40,23,25,26,23,20
Timor-Leste,1080,897,694,506,317,215
Togo,568,563,491,427,393,368
Tonga,75,100,97,114,130,124
Trinidad and Tobago,90,77,62,62,65,63
Tunisia,131,112,84,74,67,62
Turkey,97,86,79,57,23,16
Uganda,687,684,620,504,420,343
United Arab Emirates,17,12,8,6,6,6
United Republic of Tanzania,997,961,842,687,514,398
Uruguay,37,36,31,26,19,15
Vanuatu,225,184,144,116,94,78
Venezuela,94,90,90,93,99,95
Viet Nam,139,107,81,61,58,54
Yemen,547,498,440,428,416,385
Zambia,577,596,541,372,262,224
Zimbabwe,440,449,590,629,446,443
Average,469.953125,427.9453125,379.515625,324.421875,277.6640625,242.640625
